Resourceprovider,Resourcetypename,Resourcetype,Resourcegroup,Subscription,,,,,,,,,
Microsoft.AAD,domainservices,Microsoft.AAD/domainservices,No,No,,,,,,,,,
Microsoft.AnalysisServices,servers,Microsoft.AnalysisServices/servers,Yes,Yes,,,,,,,,,
Microsoft.ApiManagement,service,Microsoft.ApiManagement/service,Yes,Yes,,,,,,,,,
Microsoft.Authorization,policyassignments,Microsoft.Authorization/policyassignments,No,No,,,,,,,,,
Microsoft.Automation,automationaccounts,Microsoft.Automation/automationaccounts,Yes,Yes,,,,,,,,,
Microsoft.Automation,automationaccounts/configurations,Microsoft.Automation/automationaccounts/configurations,Yes,Yes,,,,,,,,,
Microsoft.Automation,automationaccounts/runbooks,Microsoft.Automation/automationaccounts/runbooks,Yes,Yes,,,,,,,,,
Microsoft.AzureActiveDirectory,b2cdirectories,Microsoft.AzureActiveDirectory/b2cdirectories,Yes,Yes,,,,,,,,,
Microsoft.AzureStack,registrations,Microsoft.AzureStack/registrations,Yes,Yes,,,,,,,,,
Microsoft.Backup,backupvault,Microsoft.Backup/backupvault,No,No,,,,,,,,,
Microsoft.Batch,batchaccounts,Microsoft.Batch/batchaccounts,Yes,Yes,,,,,,,,,
Microsoft.BatchAI,clusters,Microsoft.BatchAI/clusters,No,No,,,,,,,,,
Microsoft.BatchAI,fileservers,Microsoft.BatchAI/fileservers,No,No,,,,,,,,,
Microsoft.BatchAI,jobs,Microsoft.BatchAI/jobs,No,No,,,,,,,,,
Microsoft.BatchAI,workspaces,Microsoft.BatchAI/workspaces,No,No,,,,,,,,,
Microsoft.BingMaps,mapapis,Microsoft.BingMaps/mapapis,No,No,,,,,,,,,
Microsoft.BizTalkServices,biztalk,Microsoft.BizTalkServices/biztalk,Yes,Yes,,,,,,,,,
Microsoft.Blueprint,blueprintassignments,Microsoft.Blueprint/blueprintassignments,No,No,,,,,,,,,
Microsoft.BotService,botservices,Microsoft.BotService/botservices,Yes,Yes,,,,,,,,,
Microsoft.Cache,redis,Microsoft.Cache/redis,Yes,Yes,,,,,,,,,
Microsoft.Cdn,profiles,Microsoft.Cdn/profiles,Yes,Yes,,,,,,,,,
Microsoft.Cdn,profiles/endpoints,Microsoft.Cdn/profiles/endpoints,Yes,Yes,,,,,,,,,
Microsoft.CertificateRegistration,certificateorders,Microsoft.CertificateRegistration/certificateorders,Yes,Yes,,,,,,,,,
Microsoft.ClassicCompute,domainnames,Microsoft.ClassicCompute/domainnames,Yes,No,,,,,,,,,
Microsoft.ClassicCompute,virtualmachines,Microsoft.ClassicCompute/virtualmachines,Yes,No,,,,,,,,,
Microsoft.ClassicNetwork,networksecuritygroups,Microsoft.ClassicNetwork/networksecuritygroups,No,No,,,,,,,,,
Microsoft.ClassicNetwork,reservedips,Microsoft.ClassicNetwork/reservedips,No,No,,,,,,,,,
Microsoft.ClassicNetwork,virtualnetworks,Microsoft.ClassicNetwork/virtualnetworks,No,No,,,,,,,,,
Microsoft.ClassicStorage,storageaccounts,Microsoft.ClassicStorage/storageaccounts,Yes,No,,,,,,,,,
Microsoft.CognitiveServices,accounts,Microsoft.CognitiveServices/accounts,Yes,Yes,,,,,,,,,
Microsoft.Compute,availabilitysets,Microsoft.Compute/availabilitysets,Yes,Yes,,,,,,,,,
Microsoft.Compute,disks,Microsoft.Compute/disks,Yes,Yes,,,,,,,,,
Microsoft.Compute,galleries,Microsoft.Compute/galleries,No,No,,,,,,,,,
Microsoft.Compute,galleries/images,Microsoft.Compute/galleries/images,No,No,,,,,,,,,
Microsoft.Compute,galleries/images/versions,Microsoft.Compute/galleries/images/versions,No,No,,,,,,,,,
Microsoft.Compute,images,Microsoft.Compute/images,Yes,Yes,,,,,,,,,
Microsoft.Compute,restorepointcollections,Microsoft.Compute/restorepointcollections,No,No,,,,,,,,,
Microsoft.Compute,sharedvmimages,Microsoft.Compute/sharedvmimages,No,No,,,,,,,,,
Microsoft.Compute,sharedvmimages/versions,Microsoft.Compute/sharedvmimages/versions,No,No,,,,,,,,,
Microsoft.Compute,snapshots,Microsoft.Compute/snapshots,Yes,Yes,,,,,,,,,
Microsoft.Compute,virtualmachines,Microsoft.Compute/virtualmachines,Yes,Yes,,,,,,,,,
Microsoft.Compute,virtualmachines/extensions,Microsoft.Compute/virtualmachines/extensions,Yes,Yes,,,,,,,,,
Microsoft.Compute,virtualmachinescalesets,Microsoft.Compute/virtualmachinescalesets,Yes,Yes,,,,,,,,,
Microsoft.Container,containergroups,Microsoft.Container/containergroups,No,No,,,,,,,,,
Microsoft.ContainerInstance,containergroups,Microsoft.ContainerInstance/containergroups,No,No,,,,,,,,,
Microsoft.ContainerRegistry,registries,Microsoft.ContainerRegistry/registries,Yes,Yes,,,,,,,,,
Microsoft.ContainerRegistry,registries/buildtasks,Microsoft.ContainerRegistry/registries/buildtasks,Yes,Yes,,,,,,,,,
Microsoft.ContainerRegistry,registries/replications,Microsoft.ContainerRegistry/registries/replications,No,No,,,,,,,,,
Microsoft.ContainerRegistry,registries/tasks,Microsoft.ContainerRegistry/registries/tasks,Yes,Yes,,,,,,,,,
Microsoft.ContainerRegistry,registries/webhooks,Microsoft.ContainerRegistry/registries/webhooks,Yes,Yes,,,,,,,,,
Microsoft.ContainerService,containerservices,Microsoft.ContainerService/containerservices,No,No,,,,,,,,,
Microsoft.ContainerService,managedclusters,Microsoft.ContainerService/managedclusters,No,No,,,,,,,,,
Microsoft.ContainerService,openshiftmanagedclusters,Microsoft.ContainerService/openshiftmanagedclusters,No,No,,,,,,,,,
Microsoft.ContentModerator,applications,Microsoft.ContentModerator/applications,Yes,Yes,,,,,,,,,
Microsoft.CostManagement,connectors,Microsoft.CostManagement/connectors,Yes,Yes,,,,,,,,,
Microsoft.CustomerInsights,hubs,Microsoft.CustomerInsights/hubs,Yes,Yes,,,,,,,,,
Microsoft.DataBox,jobs,Microsoft.DataBox/jobs,No,No,,,,,,,,,
